price,mark,model,year,mileage,engine_capacity,transmission,drive,hand_drive,fuel,image_url
80,nissan,march,2003,80000,1240,at,2wd,rhd,gasoline,https://images.unsplash.com/photo-1647858377792-0c0ce697fc5c?crop=entropy&cs=tinysrgb&fit=crop&fm=jpg&h=500&ixid=MnwxfDB8MXxyYW5kb218MHx8bWFyY2h8fHx8fHwxNjgxMDg3OTM0&ixlib=rb-4.0.3&q=80&utm_campaign=api-credit&utm_medium=referral&utm_source=unsplash_source&w=500
110,nissan,march,2010,53000,1200,at,2wd,rhd,gasoline,https://images.unsplash.com/photo-1647858377792-0c0ce697fc5c?crop=entropy&cs=tinysrgb&fit=crop&fm=jpg&h=500&ixid=MnwxfDB8MXxyYW5kb218MHx8bWFyY2h8fHx8fHwxNjgxMDg3OTM1&ixlib=rb-4.0.3&q=80&utm_campaign=api-credit&utm_medium=referral&utm_source=unsplash_source&w=500
165,nissan,lafesta,2005,47690,2000,at,2wd,rhd,gasoline,https://images.unsplash.com/source-404?fit=crop&fm=jpg&h=800&q=60&w=1200
190,toyota,avensis,2008,130661,1990,at,2wd,rhd,gasoline,https://images.unsplash.com/photo-1606929981820-1c740b709e27?crop=entropy&cs=tinysrgb&fit=crop&fm=jpg&h=500&ixid=MnwxfDB8MXxyYW5kb218MHx8YXZlbnNpc3x8fHx8fDE2ODEwODc5MzY&ixlib=rb-4.0.3&q=80&utm_campaign=api-credit&utm_medium=referral&utm_source=unsplash_source&w=500
190,daihatsu,mira,2006,66300,660,at,2wd,rhd,gasoline,https://images.unsplash.com/photo-1673018196611-d5f0ea2f897b?crop=entropy&cs=tinysrgb&fit=crop&fm=jpg&h=500&ixid=MnwxfDB8MXxyYW5kb218MHx8bWlyYXx8fHx8fDE2ODEwODc5Mzg&ixlib=rb-4.0.3&q=80&utm_campaign=api-credit&utm_medium=referral&utm_source=unsplash_source&w=500
190,daihatsu,mira,2004,81400,660,at,2wd,rhd,gasoline,https://images.unsplash.com/photo-1673018196611-d5f0ea2f897b?crop=entropy&cs=tinysrgb&fit=crop&fm=jpg&h=500&ixid=MnwxfDB8MXxyYW5kb218MHx8bWlyYXx8fHx8fDE2ODEwODc5Mzk&ixlib=rb-4.0.3&q=80&utm_campaign=api-credit&utm_medium=referral&utm_source=unsplash_source&w=500
220,nissan,march,2010,117000,1200,at,2wd,rhd,gasoline,https://images.unsplash.com/photo-1613612903583-2aa090d6bf09?crop=entropy&cs=tinysrgb&fit=crop&fm=jpg&h=500&ixid=MnwxfDB8MXxyYW5kb218MHx8bWFyY2h8fHx8fHwxNjgxMDg3OTM5&ixlib=rb-4.0.3&q=80&utm_campaign=api-credit&utm_medium=referral&utm_source=unsplash_source&w=500
230,volkswagen,passat,2008,127763,3190,at,4wd,rhd,gasoline,https://images.unsplash.com/photo-1666295751823-a9632858d0fe?crop=entropy&cs=tinysrgb&fit=crop&fm=jpg&h=500&ixid=MnwxfDB8MXxyYW5kb218MHx8cGFzc2F0fHx8fHx8MTY4MTA4Nzk0MQ&ixlib=rb-4.0.3&q=80&utm_campaign=api-credit&utm_medium=referral&utm_source=unsplash_source&w=500
275,mazda,bongo van,2010,178218,1800,mt,2wd,rhd,gasoline,https://images.unsplash.com/photo-1621369081987-72c532afdc33?crop=entropy&cs=tinysrgb&fit=crop&fm=jpg&h=500&ixid=MnwxfDB8MXxyYW5kb218MHx8Ym9uZ28gdmFufHx8fHx8MTY4MTA4Nzk0Mw&ixlib=rb-4.0.3&q=80&utm_campaign=api-credit&utm_medium=referral&utm_source=unsplash_source&w=500
283,honda,step wgn,2005,121655,2000,at,2wd,rhd,gasoline,https://images.unsplash.com/photo-1591284080149-58e039950b29?crop=entropy&cs=tinysrgb&fit=crop&fm=jpg&h=500&ixid=MnwxfDB8MXxyYW5kb218MHx8c3RlcCB3Z258fHx8fHwxNjgxMDg3OTQ0&ixlib=rb-4.0.3&q=80&utm_campaign=api-credit&utm_medium=referral&utm_source=unsplash_source&w=500
290,subaru,sambar,2004,121000,650,mt,2wd,rhd,gasoline,https://images.unsplash.com/photo-1640528083645-dfef5c4f6fdb?crop=entropy&cs=tinysrgb&fit=crop&fm=jpg&h=500&ixid=MnwxfDB8MXxyYW5kb218MHx8c2FtYmFyfHx8fHx8MTY4MTA4Nzk0Ng&ixlib=rb-4.0.3&q=80&utm_campaign=api-credit&utm_medium=referral&utm_source=unsplash_source&w=500
290,honda,inspire,2002,61000,2490,at,2wd,rhd,gasoline,https://images.unsplash.com/photo-1508381367605-5579c186b7c7?crop=entropy&cs=tinysrgb&fit=crop&fm=jpg&h=500&ixid=MnwxfDB8MXxyYW5kb218MHx8aW5zcGlyZXx8fHx8fDE2ODEwODc5NDc&ixlib=rb-4.0.3&q=80&utm_campaign=api-credit&utm_medium=referral&utm_source=unsplash_source&w=500
